"","Month_Year","Family_grouped","Percentage"
"97","July_2023","Puniceicoccaceae",1.74132111177413
"98","July_2023","Rare Families",29.5914865212533
"99","July_2023","Rhodobacteraceae",7.77124582050702
"100","July_2023","Saprospiraceae",4.70448162024524
"101","July_2023","Spirochaetaceae",1.35901350295637
"102","July_2023","Unknown Family",2.77466571733765
"103","July_2023","Woeseiaceae",3.74309127896537
"104","July_2025","A4b",8.87488936533021
"105","July_2025","Balneolaceae",1.33904157587656
"106","July_2025","Beggiatoaceae",1.40833073721655
"107","July_2025","Cryomorphaceae",1.68676393885166
"108","July_2025","Cyclobacteriaceae",4.64474267071663
"109","July_2025","Flammeovirgaceae",1.58762502374312
"110","July_2025","Flavobacteriaceae",4.54829142798066
"111","July_2025","Halieaceae",2.02926893956121
"112","July_2025","Hyphomonadaceae",1.17415369506373
"113","July_2025","Micavibrionaceae",1.09768312842068
"114","July_2025","Nodosilineaceae",3.43199834562476
"115","July_2025","Phormidesmiaceae",3.44357422176699
"116","July_2025","Phycisphaeraceae",1.66230906589815
"117","July_2025","Pirellulaceae",3.42851021809401
"118","July_2025","Puniceicoccaceae",2.75309609168829
"119","July_2025","Rare Families",19.322166434819
"120","July_2025","Rhodobacteraceae",12.73432900794
"121","July_2025","Rhodothermaceae",3.04085811827312
"122","July_2025","Saprospiraceae",9.73249452909415
"123","July_2025","Sphingomonadaceae",3.77343877540907
"124","July_2025","Trueperaceae",1.78934938495434
"125","July_2025","Unknown Family",3.21547778332722
"126","July_2025","Woeseiaceae",3.28160752034991
"127","June_2023","A4b",6.73447009605903
"128","June_2023","Acanthopleuribacteraceae",2.04926498556734
"129","June_2023","Cryomorphaceae",1.3931841961199
"130","June_2023","Cyclobacteriaceae",4.09598643907342
"131","June_2023","Desulfocapsaceae",2.97367761674426
"132","June_2023","Flavobacteriaceae",8.3358300172814
"133","June_2023","Halieaceae",2.41092174099791
"134","June_2023","Phormidiaceae",1.39723568785659
"135","June_2023","Phycisphaeraceae",2.42987739738495
"136","June_2023","Pirellulaceae",5.35620066257541
"137","June_2023","Puniceicoccaceae",3.03669216114874
"138","June_2023","Rare Families",27.8291298075499
"139","June_2023","Rhodobacteraceae",11.348464562246
"140","June_2023","Rhodothermaceae",1.24052434262415
"141","June_2023","Rubritaleaceae",1.40073674501426
"142","June_2023","Sandaracinaceae",1.18003245504836
"143","June_2023","Saprospiraceae",5.49317286106372
"144","June_2023","Sphingomonadaceae",1.11919210731107
"145","June_2023","Thermoanaerobaculaceae",1.71728919336999
"146","June_2023","Unknown Family",2.08409821619093
"147","June_2023","Vibrionaceae",1.3894381271485
"148","June_2023","Woeseiaceae",4.98458058162423
"149","June_2024","A4b",8.06636131233372
"150","June_2024","Bacteroidetes BD2-2",1.93812545383751
"151","June_2024","Balneolaceae",2.85847542054298
"152","June_2024","Beggiatoaceae",1.01074127896962
"153","June_2024","Coleofasciculaceae",1.06049249016563
"154","June_2024","Cryomorphaceae",1.62764948393605
"155","June_2024","Cyclobacteriaceae",3.52207429585287
"156","June_2024","Desulfocapsaceae",4.56224816729916
"157","June_2024","Desulfosarcinaceae",1.08375961688226
"158","June_2024","Desulfovibrionaceae",1.62479176928477
"159","June_2024","Flavobacteriaceae",7.45990750537522
"160","June_2024","Halieaceae",3.12546316626043
"161","June_2024","Phormidesmiaceae",1.61160564038312
"162","June_2024","Phormidiaceae",1.0459017148606
"163","June_2024","Phycisphaeraceae",2.08010575960515
"164","June_2024","Pirellulaceae",2.45713969189251
"165","June_2024","Puniceicoccaceae",2.7347133017111
"166","June_2024","Rare Families",28.5608403833594
"167","June_2024","Rhodobacteraceae",8.96001882004564
"168","June_2024","Saprospiraceae",5.23128953150284
"169","June_2024","Sphingomonadaceae",1.31319982545624
"170","June_2024","Spirochaetaceae",2.26197429367039
"171","June_2024","Trueperaceae",1.07103708252662
"172","June_2024","Unknown Family",2.34444863521756
"173","June_2024","Woeseiaceae",2.38763535902861
"174","October_2023","A4b",4.30818931395686
"175","October_2023","Alteromonadaceae",1.8329326567966
"176","October_2023","BD2-7",1.04027047335289
"177","October_2023","Cyclobacteriaceae",3.97401700175475
"178","October_2023","Desertifilaceae",2.7110991375643
"179","October_2023","Desulfobulbaceae",1.34789623228281
"180","October_2023","Desulfocapsaceae",4.5778504250792
"181","October_2023","Desulfosarcinaceae",1.42538045901601
"182","October_2023","Flammeovirgaceae",1.67337778610797
"183","October_2023","Flavobacteriaceae",15.0472829673419
"184","October_2023","Halieaceae",4.6484457990892
"185","October_2023","Phycisphaeraceae",1.58999182453985
"186","October_2023","Pirellulaceae",2.7033232436737
"187","October_2023","Puniceicoccaceae",2.7708769433744
"188","October_2023","Rare Families",24.5827637510989
"189","October_2023","Rhodobacteraceae",10.6346147661505
"190","October_2023","Saprospiraceae",6.31441849077755
"191","October_2023","Sphingomonadaceae",1.28274960505604
"192","October_2023","Spirochaetaceae",1.34191618996153
"193","October_2023","Unknown Family",2.19214747860737
"194","October_2023","Woeseiaceae",4.00045545441774
